ID_PER,AP4_3_1,AP4_3_2,AP4_3_3,AP4_8_1,AP4_8_2,AP4_8_3,AP4_8_4,AP4_8_5,AP4_8_6
0100310.01.01.01,1,1,1,2,2,2,2,2,2
0100310.02.01.02,2,2,2,1,1,2,2,1,1
0100310.03.01.02,1,1,1,2,2,1,2,2,1
0100310.04.01.05,2,1,1,2,2,2,2,1,2
0100310.05.01.01,2,2,2,1,2,1,2,1,3
0100315.01.01.02,2,2,2,1,1,2,2,1,2
0100315.02.01.01,1,2,2,2,2,2,2,2,2
0100315.03.01.01,1,2,2,2,1,2,2,2,2
0100317.01.01.01,2,1,2,2,1,2,2,1,2
0100317.02.01.02,2,2,2,2,1,2,2,1,2
0100317.04.01.03,1,1,1,1,1,2,2,1,2
0100317.05.01.01,2,1,1,2,1,1,2,1,9
0100320.03.01.01,1,1,1,1,1,2,2,2,2
0100320.04.01.02,1,1,1,1,1,1,2,2,2
0100320.05.01.03,1,2,2,1,1,2,2,1,1
0100327.01.01.02,1,1,1,2,1,2,2,2,2
0100327.02.01.01,1,1,2,2,1,1,1,1,2
0100327.03.01.03,1,1,1,2,2,2,1,1,1
0100327.05.01.01,1,2,2,2,2,2,1,2,2
0100329.01.01.01,1,2,1,2,1,1,2,1,2
0100329.02.01.02,1,1,1,2,2,1,2,2,2
0100329.04.01.02,2,2,2,2,1,1,1,1,1
0100329.05.01.01,2,2,2,1,2,1,1,1,1
0100331.01.01.04,1,2,2,2,1,2,1,1,1
0100331.02.01.02,2,2,2,2,1,2,2,2,1
0100331.03.01.01,2,1,1,2,1,1,9,1,9
0100331.04.01.03,1,1,1,2,1,2,2,1,2
0100331.05.01.01,1,1,1,2,2,2,2,2,2
0100347.01.01.01,1,1,1,2,1,1,1,1,2
0100347.03.01.01,1,2,2,2,1,2,2,1,1
0100347.05.01.03,2,2,2,1,1,2,1,1,1
0100360.01.01.02,2,2,2,2,2,2,2,1,2
0100360.02.01.02,2,2,2,2,2,2,1,1,2
0100360.03.01.01,1,1,1,2,1,2,2,1,2
0100360.04.01.01,2,2,2,2,1,2,2,1,2
0100360.05.01.03,2,2,2,2,1,2,1,1,1
0100374.01.01.03,1,1,1,1,2,2,2,1,2
0100374.02.01.01,1,1,1,2,2,2,2,1,2
0100374.04.01.02,2,1,1,1,2,2,2,1,2
0100374.05.01.03,2,2,2,1,1,2,1,1,1
0100375.01.01.02,2,2,2,1,2,2,2,1,2
0100375.02.01.01,2,2,2,2,2,2,2,1,1
0100375.04.01.03,1,1,1,2,2,2,2,1,9
0100375.05.01.01,2,1,1,2,2,2,2,1,2
0100391.01.01.01,2,2,2,1,1,2,2,1,2
0100391.02.01.03,1,1,1,1,1,1,2,2,2
0100391.03.01.05,1,1,1,2,2,2,2,2,2
0100391.04.01.01,1,1,1,2,1,2,2,1,2
0100391.05.01.01,1,1,1,2,2,2,2,2,3
0100397.01.01.03,2,2,2,1,1,1,2,1,1
0100397.02.01.01,1,1,1,1,1,1,2,1,2
0100397.03.01.02,1,1,1,2,1,2,2,1,2
0100397.04.01.01,1,2,2,2,1,2,2,2,2
0100397.05.01.01,1,1,1,2,1,2,2,1,2
0100398.01.01.01,2,2,2,2,2,2,2,2,2
0100398.02.01.02,1,1,1,2,1,2,1,2,1
0100398.03.01.01,1,1,1,2,2,2,2,2,2
0100398.04.01.04,1,1,1,2,2,2,2,2,2
0100398.05.01.01,1,1,1,1,1,2,2,2,2
0100403.01.01.01,1,1,1,2,2,1,2,2,9
0100403.02.01.02,2,2,2,2,1,1,1,1,9
0100403.03.01.03,1,1,1,1,2,1,2,2,2
0100403.04.01.01,1,1,1,2,2,2,2,2,2
0100407.01.01.01,1,1,1,2,2,2,2,2,3
0100407.02.01.05,1,1,2,1,1,1,2,2,2
0100407.03.01.01,1,1,1,2,1,2,2,2,3
0100407.04.01.02,1,1,1,2,1,2,2,2,3
0100407.05.01.01,1,2,2,1,1,1,2,1,3
0100419.03.01.01,2,2,2,2,1,1,2,1,2
0100419.04.01.01,2,2,2,1,1,1,2,2,2
0100424.01.01.01,2,1,1,1,1,2,1,1,2
0100424.04.01.01,2,2,2,2,2,2,2,1,2
0100432.01.01.01,1,1,1,2,2,2,2,1,2
0100432.02.01.01,1,1,1,1,1,1,1,1,1
0100432.03.01.02,2,2,2,2,2,1,1,1,1
0100432.04.01.01,1,1,1,1,1,2,1,1,1
0100432.05.01.02,1,2,2,1,2,1,2,1,1
0100440.01.01.03,2,2,2,1,2,2,1,1,1
0100440.02.01.02,2,2,2,2,2,2,2,2,1
0100440.03.01.02,1,2,2,1,1,2,1,1,1
0100440.04.01.03,2,2,2,2,2,1,1,1,1
0100443.01.01.01,2,2,2,1,2,2,1,1,1
0100443.02.01.02,1,1,1,2,1,2,2,1,1
0100443.03.01.01,2,1,1,2,2,1,1,1,1
0100443.04.01.01,2,2,2,2,2,2,1,1,1
0100443.05.01.03,2,1,1,1,1,1,1,1,1
0100451.01.01.02,2,2,2,2,2,2,2,1,3
0100451.02.01.01,2,2,2,1,1,1,1,1,1
0100451.03.01.02,2,2,2,2,2,2,1,1,1
0100451.04.01.01,2,2,1,1,2,2,2,2,2
0100451.05.01.04,2,1,1,1,2,2,1,1,1
0100452.01.01.01,1,1,1,2,1,1,1,1,3
0100452.01.02.01,2,1,2,2,2,1,1,1,1
0100452.02.01.04,1,1,1,2,2,1,1,1,3
0100452.03.01.01,1,1,1,1,2,2,1,1,3
0100452.04.01.02,2,1,2,1,1,1,1,1,3
0100452.05.01.04,1,1,1,1,1,2,1,1,1
0100456.01.01.01,2,1,1,2,1,1,2,1,1
0100456.02.01.04,2,2,2,1,2,1,1,1,3
0100456.03.01.03,2,1,1,1,2,1,2,1,1
0100456.04.01.03,2,2,2,1,2,1,2,1,1
0100456.05.01.02,1,1,1,2,2,1,2,2,3
0100465.01.01.01,2,1,2,2,2,2,1,1,2
0100465.02.01.02,2,2,2,1,1,2,1,1,1
0100465.03.01.02,2,2,2,2,2,2,2,1,3
0100465.04.01.02,2,2,2,2,1,2,1,1,3
0100465.05.01.03,2,1,2,1,1,1,1,1,1
0100471.01.01.03,1,1,2,1,1,1,1,1,1
0100471.03.01.01,2,2,2,2,1,1,1,2,3
0100471.05.01.02,1,2,2,1,1,2,2,1,3
0100489.01.01.02,1,1,1,2,2,2,2,1,2
0100489.02.01.02,1,1,1,2,2,2,2,2,1
0100489.03.01.03,1,2,2,2,1,1,2,2,1
0100489.04.01.02,1,2,2,1,1,1,1,1,9
0100489.05.01.01,1,1,1,2,2,2,2,2,2
0100491.01.01.01,1,1,2,2,1,2,2,2,2
0100491.02.01.01,2,2,2,1,2,2,2,1,2
0100491.04.01.01,1,1,1,1,1,1,1,2,2
0100491.05.01.03,1,1,1,2,1,2,2,2,2
0100503.01.01.02,1,2,2,2,2,2,2,2,2
0100503.02.01.01,2,2,2,2,2,2,1,1,2
0100503.03.01.01,2,1,1,2,2,2,2,2,1
0100503.04.01.02,1,1,1,2,2,2,2,2,2
0100510.01.01.01,1,1,1,2,2,2,2,2,2
0100510.02.01.02,2,2,2,1,2,2,2,1,2
0100510.03.01.03,1,1,1,2,2,2,2,1,2
0100510.04.01.01,1,2,2,2,2,2,2,2,2
0100510.05.01.02,1,1,1,2,2,1,2,1,2
0100521.01.01.04,2,2,1,2,2,2,1,1,1
0100521.02.01.01,2,1,2,2,2,1,1,1,2
0100521.03.01.01,1,2,2,1,2,1,2,2,1
0100521.04.01.04,2,2,2,1,1,1,1,1,1
0100521.05.01.01,2,1,1,2,2,2,1,2,1
0100529.01.01.01,1,2,1,1,2,2,2,1,2
0100529.03.01.01,1,1,1,1,2,2,2,1,1
0100529.04.01.01,1,2,2,2,2,2,1,1,9
0100529.05.01.03,2,2,1,1,2,1,1,1,1
0100530.01.01.01,2,2,2,2,2,1,1,1,1
0100530.02.01.04,2,2,2,2,2,1,1,1,9
0100530.03.01.02,1,1,1,2,2,1,1,2,2
0100530.04.01.03,2,1,2,2,2,2,2,1,1
0100530.05.01.02,2,2,2,2,2,1,2,1,1
0100531.01.01.02,2,1,2,1,1,2,2,2,1
0100531.02.01.04,2,2,1,2,2,2,1,1,2
0100531.03.01.01,1,1,1,2,2,2,1,2,1
0100531.05.01.02,1,2,2,1,2,2,2,1,1
0100534.02.01.02,2,2,2,1,2,2,2,1,1
0100534.03.01.01,1,2,2,2,1,2,2,1,9
0100534.04.01.02,2,2,2,1,1,1,2,1,2
0100534.05.01.03,2,1,9,1,2,1,1,1,1
0100536.01.01.04,1,2,1,1,1,1,1,1,9
0100536.02.01.01,2,1,1,2,2,1,1,1,1
0100536.03.01.02,2,2,2,2,1,2,2,2,1
0100536.04.01.02,2,2,2,1,1,2,1,1,1
0100536.05.01.03,1,1,1,2,1,1,1,1,9
0100537.03.01.02,2,1,1,2,1,1,1,9,1
0100537.04.01.01,2,2,2,2,2,2,2,1,2
0100537.05.01.04,2,2,2,2,1,1,1,1,1
0100540.01.01.02,1,1,1,2,1,1,2,1,2
0100540.04.01.01,1,2,2,2,1,2,2,1,9
0100540.05.01.02,1,2,2,2,1,2,1,1,1
0100552.01.01.03,2,2,2,1,1,1,1,1,1
0100552.03.01.05,1,1,1,1,1,2,1,1,2
0100552.04.01.02,2,2,2,2,2,1,1,1,2
0100552.05.01.04,2,2,2,2,1,2,1,1,2
0100555.01.01.03,1,2,2,2,2,2,1,2,2
0100555.02.01.01,1,2,2,2,2,2,2,2,2
0100555.03.01.01,2,2,2,2,2,2,2,1,2
0100555.04.01.02,2,2,2,2,2,2,2,2,2
0100555.05.01.03,2,2,2,1,1,1,1,1,1
0100558.01.01.01,2,1,1,2,1,2,1,1,2
0100558.02.01.02,1,1,1,2,2,2,1,1,2
0100558.03.01.01,2,2,2,1,1,2,1,1,1
0100558.04.01.02,2,1,1,2,2,2,1,1,1
0100558.05.01.01,1,1,1,2,1,2,2,1,2
0100564.01.01.01,2,2,2,1,1,1,1,1,1
0100564.02.01.03,2,2,2,1,1,1,1,1,1
0100564.03.01.01,1,1,1,1,1,1,1,2,1
0100564.04.01.01,1,2,2,1,1,2,2,1,2
0100564.05.01.02,2,2,2,1,1,1,2,2,2
0100564.05.02.02,1,1,1,1,1,2,2,2,2
0100565.01.01.02,1,1,1,1,1,1,1,1,2
0100565.02.01.01,2,2,2,2,2,2,2,1,2
0100565.03.01.01,2,1,1,1,2,1,1,1,1
0100565.03.02.01,2,1,1,1,2,2,1,1,9
0100565.04.01.05,2,2,2,1,1,1,2,1,2
0100565.05.01.01,2,1,1,1,2,1,2,1,2
0100569.02.01.03,1,1,1,2,2,1,2,2,2
0100569.03.01.03,2,1,1,1,1,2,1,1,1
0100569.04.01.01,1,1,1,1,1,2,2,1,2
0100569.05.01.02,2,2,2,1,2,1,1,1,2
0100583.02.01.01,1,1,1,2,1,1,2,1,2
0100583.05.01.01,1,9,2,1,2,2,2,1,1
0100586.01.01.02,1,2,2,1,1,1,2,1,1
0100586.02.01.04,1,2,2,2,1,1,2,1,1
0100586.03.01.01,2,1,2,1,1,2,2,1,1
0100586.04.01.01,2,2,2,2,1,2,2,1,1
0100586.05.01.01,2,1,2,2,1,1,2,1,9
0100590.01.01.01,1,1,2,1,2,1,2,1,2
0100590.02.01.01,2,2,2,2,1,2,2,1,3
0100590.03.01.02,1,2,2,1,1,1,1,1,2
0100590.05.01.03,1,1,2,1,1,1,2,1,9
0100592.01.01.04,1,1,2,1,1,1,2,2,2
0100592.02.01.01,1,1,1,2,2,2,2,2,2
0100592.02.02.01,1,2,1,1,2,1,2,2,1
0100592.03.01.02,2,2,2,2,1,1,2,1,1
0100592.04.01.02,1,2,2,2,2,2,1,1,1
0100592.05.01.02,2,1,2,2,2,2,2,1,9
0100601.01.01.01,2,1,1,2,1,2,2,1,9
0100601.03.01.01,2,1,2,2,1,2,2,1,2
0100601.04.01.03,1,1,1,2,2,2,2,1,9
0100601.05.01.01,2,1,1,2,1,2,1,1,9
0100606.01.01.01,2,2,2,1,1,1,2,1,1
0100606.02.01.02,1,1,1,2,2,2,2,2,2
0100606.04.01.02,1,2,1,2,2,2,2,2,9
0100606.05.01.01,1,1,1,2,1,2,1,1,9
0100613.01.01.01,1,1,1,2,1,2,2,1,9
0100613.02.01.02,1,2,2,2,1,1,2,1,1
0100613.03.01.01,1,1,2,2,1,2,2,9,9
0100613.04.01.01,1,2,2,2,1,2,2,1,9
0100613.05.01.02,1,1,1,2,1,2,2,1,9
0100620.02.01.01,1,1,1,2,1,2,2,2,2
0100620.03.01.02,1,2,2,1,1,1,2,1,1
0100620.04.01.02,2,1,1,2,1,2,2,1,2
0100620.05.01.01,2,1,1,2,2,2,2,1,1
0100621.01.01.01,1,1,1,2,1,2,2,1,9
0100621.02.01.01,1,2,1,2,1,2,2,1,2
0100621.03.01.01,2,1,1,2,1,2,2,1,1
0100621.05.01.02,1,1,1,2,2,2,2,2,2
0100628.01.01.01,1,1,1,1,1,1,1,1,3
0100628.02.01.02,2,1,1,1,1,2,1,1,1
0100628.03.01.02,2,2,2,1,1,1,1,1,1
0100628.04.01.02,2,2,2,2,1,2,9,1,9
0100628.05.01.02,1,2,2,2,1,1,1,1,1
0100639.01.01.02,2,2,2,2,1,1,1,1,1
0100639.02.01.06,2,2,2,1,1,2,1,1,1
0100639.03.01.01,2,1,1,2,1,2,2,1,2
0100639.04.01.01,1,1,1,2,1,2,2,9,2
0100639.05.01.01,2,2,2,2,1,2,1,1,2
0100644.01.01.01,2,1,1,1,2,2,2,1,2
